,Platform,Category,Title,DirectorName,DirectorGender,DirectorAge,Actors,ActorGender,ActorAge,Country,DateAdded,ReleaseYear,Rating,Duration,GenreType,Description
3668,Netflix,Movie,Maza Pati Karodpati,Guy Vasilovich,M,70,Eileen Atkins,F,85,India,1-Jan-18,1988,TV-PG,132 min,"Comedies, International Movies, Romantic Movies",An orphan girl who has ambitions of marrying a rich man changes her identity to win the heart of a prominent businessman's son.
3808,Netflix,Movie,Evening Shadows,Sridhar Rangayan,M,58,Anna Chancellor,F,55,India,27-Feb-19,2018,TV-14,102 min,"Dramas, Independent Movies, International Movies","When her son comes out to her as gay, a religious mother struggles to reconcile his truth with her own beliefs and their orthodox family values."
4241,Netflix,Movie,Vodka Diaries,Kushal Srivastava,M,39,Jonathan Pryce,M,72,India,31-Dec-19,2018,TV-14,113 min,"Dramas, International Movies, Thrillers","While investigating a series of murders and the nightclub that links them, a detectiveí_í_Œés case takes an alarming turn when his wife goes missing."
2462,Netflix,Movie,Immoral Tales,Walerian Borowczyk,M,100,Oliver James,M,39,France,6-Jun-19,1974,Not Rated,103 min,"Dramas, International Movies, Romantic Movies","This anthology illustrates the timeless nature of desire in four stories of incest, bloodlust and other forbidden subjects."
2772,Netflix,Movie,The Invitation,Karyn Kusama,F,52,Christina Cole,F,37,United States,8-Jul-16,2015,Not Rated,100 min,"Horror Movies, Independent Movies, Thrillers","A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions."
4498,Netflix,Movie,Honeymoon Travels Pvt. Ltd.,Reema Kagti,F,48,Nicholas Hoult,M,30,India,15-Dec-19,2007,TV-14,119 min,"Comedies, Dramas, International Movies",This offbeat comedy-drama follows six quirky newlywed couples as they set off on a bus from Mumbai to Goa on their honeymoons.
4636,Netflix,Movie,Sweet Virginia,Jamie M. Dagg,M,42,Toni Collette,F,47,"United States, Canada",1-Dec-19,2017,R,93 min,"Dramas, Independent Movies, Thrillers","In a remote Alaskan town reeling from a sudden triple murder, a former rodeo champ befriends a lone newcomer with a violent occupation."
1188,Netflix,Movie,"The Goods: Live Hard, Sell Hard",Neal Brennan,M,46,Victoria Smurfit,F,46,United States,20-Nov-19,2009,R,89 min,Comedies,"Hired to rescue a flagging car dealership during a major sale, a fast-talking closer spends his days on the lot and his nights at local strip clubs."
463,Netflix,Movie,The Haunting of Molly Hartley,Mickey Liddell,M,62,Sharon Small,F,53,United States,4-Oct-18,2008,PG-13,85 min,"Horror Movies, Thrillers","A troubled teenage girl hopes to start fresh at a new school, but the horrifying truth about her past is destined to catch up with her."
2715,Netflix,Movie,What a Girl Wants,Dennie Gordon,F,66,Natalia Tena,F,35,United States,1-Jun-19,2003,TV-PG,105 min,"Children & Family Movies, Comedies","In search of the father she's never met, the daughter of a bohemian American woman heads to Europe and finds that her dad is an uptight politician."
4007,Netflix,Movie,About a Boy,Chris Weitz,M,50,Isabel Brook,F,43,"United Kingdom, United States, France, Germany",1-Feb-19,2002,PG-13,101 min,"Comedies, Dramas, International Movies","Hip, irresponsible Londoner Will invents an imaginary son and starts attending single-parent meetings to find available women."
4634,Netflix,Movie,Searching for Sugar Man,Paul Weitz,M,54,Hugh Grant,M,59,"Sweden, United Kingdom, Finland",1-Dec-19,2012,PG-13,86 min,"Documentaries, International Movies, Music & Musicals","Decades after Detroit singer-songwriter Rodriguez disappeared following the commercial failure of his albums, two fans try to track down their idol."
5458,Netflix,Movie,Macho,Malik Bendjelloul,M,100,Rachel Weisz,F,50,Mexico,12-Apr-17,2016,TV-MA,101 min,"Comedies, International Movies, LGBTQ Movies",A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is.
1387,Netflix,Movie,Like Water for Chocolate,Antonio Serrano,M,46,Paul Darnell,M,38,Mexico,1-Nov-19,1992,R,105 min,"Classic Movies, Dramas, International Movies","When Pedro marries her sister, Tita throws herself into her cooking í_í_Å‹ and discovers she can transfer her emotions through the food she prepares."
1287,Netflix,Movie,Halkaa,Alfonso Arau,M,88,Omar Dorsey,M,44,India,15-Nov-18,2018,TV-14,111 min,"Comedies, Dramas, Independent Movies","Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet."
